2+1/2,65,7.5,1.12,3.94,2.88,1.62,1.62,3.12,2.94,4.12,0.25,5,0.312,26,0.19,N/A,2+1/2,5.88,8,0+3/4,,4.75,4.75,0+7/8,20,8.2,5.9,6.8,,2+1/2,2.97,74.6125,7.9375,1.12,4,0.312,0.469,,3.24,3.24,N/A,3.94,0.06,1.12,3.37,3.432,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,8.25,1.25,4.62,3.5,1.81,1.81,3.25,3.57,5,0.25,5.75,0.312,31,0.19,N/A,3,6.62,8,0+3/4,,5,5,0+7/8,20,10.5,7.3,9.1,,3,3.6,90.4875,10.31875,1.25,4.875,0.312,0.469,,3.32,3.32,N/A,4.62,0.06,1.25,3.5,3.562,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,9,1.38,5.25,4,1.94,1.94,3.38,4.07,5.5,0.25,6.25,0.312,34,0.19,N/A,3+1/2,7.25,8,0+7/8,,5.5,5.5,1,24,11.8,9.6,13.2,,3+1/2,4.1,103.1875,10.31875,1.38,5.188,0.312,0.469,,5.52,5.52,N/A,5.25,0.06,1.38,3.38,3.692,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,10,1.38,5.75,4.5,2,2,3.5,4.57,6.19,0.25,6.88,0.312,37,0.22,N/A,4,7.88,8,0+7/8,,5.5,5.5,1,24,16,11.8,15,,4,4.6,115.8875,11.1125,1.38,5.875,0.312,0.469,0.03,5.52,5.52,N/A,5.75,0.06,1.38,3.75,3.812,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,130,11,1.5,7,5.56,2.12,2.12,4,5.66,7.31,0.25,8.25,0.312,41,0.22,N/A,5,9.25,8,0+7/8,,5.75,5.75,1,24,20,14.1,20,,5,5.69,143.66875,11.1125,1.5,7.125,0.312,0.469,0.03,5.64,5.64,N/A,7,0.06,1.5,4.25,4.312,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,12.5,1.62,8.12,6.63,2.25,2.25,4.06,6.72,8.5,0.25,9.5,0.312,45,0.22,N/A,6,10.62,12,0+7/8,,6,6,1,24,26,20,28,,6,6.75,170.65625,12.7,1.62,8.312,0.312,0.469,0.03,8.65,8.65,N/A,8.12,0.06,1.62,4.31,4.372,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,15,1.88,10.25,8.63,2.69,2.69,4.62,8.72,10.62,0.25,11.88,0.312,49,0.22,N/A,8,13,12,1,,6.75,6.75,1+1/8,27,41,31,46,,8,8.75,221.45625,12.7,1.88,10.625,0.312,0.469,0.03,12.65,12.65,N/A,10.25,0.06,1.88,4.87,4.932,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,17.5,2.12,12.62,10.75,2.88,4,4.88,10.88,12.75,0.25,14,0.312,53,0.22,N/A,10,15.25,16,1+1/8,,7.5,7.5,1+1/4,30,57,42,71,,10,10.92,276.225,12.7,2.12,12.75,0.312,0.469,0.03,23.26,23.26,N/A,12.62,0.06,2.12,5.13,5.192,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,20.5,2.25,14.75,12.75,3.12,4.25,5.38,12.88,15,0.25,16.25,0.312,57,0.22,N/A,12,17.75,16,1+1/4,,8,8,1+3/8,33,80,59,102,,12,12.92,427.0375,12.7,2.25,15,0.312,0.469,0.03,30.35,30.35,N/A,14.75,0.06,2.25,5.63,5.692,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,23,2.38,16.75,14,3.31,4.62,5.88,14.14,16.25,0.25,18,0.312,61,0.22,N/A,14,20.25,20,1+1/4,,8.25,8.25,1+3/8,33,105,82,132,,14,14.18,359.56875,12.7,2.38,16.5,0.312,0.469,0.03,38.51,38.51,N/A,16.75,0.06,2.38,6.13,6.192,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,25.5,2.5,19,16,3.69,5,6,16.16,18.5,0.25,20,0.312,65,0.22,N/A,16,22.5,20,1+3/8,,8.75,8.75,1+1/2,36,134,107,168,,16,16.19,410.36875,12.7,2.5,18.5,0.312,0.469,0.03,50.38,50.38,N/A,19,0.06,2.5,6.25,6.312,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,28,2.62,21,18,3.88,5.38,6.5,18.18,21,0.25,22.62,0.312,69,0.22,N/A,18,24.75,24,1+3/8,,9,9,1+1/2,36,160,130,207,,18,18.2,461.9625,12.7,2.62,21,0.312,0.469,0.03,62.15,62.15,N/A,21,0.06,2.62,6.75,6.812,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,30.5,2.75,23.12,20,4,5.75,6.62,20.2,23,0.25,25,0.375,73,0.22,N/A,20,27,24,1+1/2,,9.5,9.75,1+3/4,39,194,157,266,,20,20.25,512.7625,12.7,2.75,23,0.375,0.531,0.06,78.11,80.13,N/A,23.12,0.06,2.75,6.87,6.995,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,600,36,3,27.62,24,4.5,6.25,6.88,24.25,27.25,0.25,29.5,0.438,77,0.25,N/A,24,32,24,1+3/4,,10.5,11,1+7/8,45,282,232,405,,24,24.25,615.95,12.7,3,27.25,0.438,0.656,0.06,119.85,123.96,N/A,27.62,0.06,3,7.13,7.318,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
