6,150,355,47.7,222,168.3,67,67,117,170.7,215.9,7,241,7.92,45,5,,6,292.1,12,1,,170,170,1+1/8,27,36,36,39,28.575,6,171.4,N/A,N/A,67,211.12,7.92,11.91,0.8,12.65,12.65,152.4,222,1.6,47.7,124,124.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,420,55.6,273,219.1,76,76,133,221.5,269.9,7,302,7.92,49,5,,8,349.2,12,1+1/8,,190,195,1+1/4,30,55,52,64,31.75,8,222.2,N/A,N/A,76,269.88,7.92,11.91,0.8,17.44,17.72,203.2,273,1.6,55.6,140,140.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,510,63.5,343,273,86,111,152,276.2,323.8,7,356,7.92,53,5,,10,431.8,16,1+1/4,,215,215,1+3/8,33,86,77,105,34.925,10,277.4,N/A,N/A,86,323.85,7.92,11.91,0.8,31.28,31.28,254,343,1.6,63.5,159,159.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,560,66.7,400,323.8,92,117,156,327,381,7,413,7.92,57,5,,12,489,20,1+1/4,,220,220,1+3/8,33,102,91,134,34.925,12,328.2,N/A,N/A,92,381,7.92,11.91,0.8,39.66,39.66,304.8,400,1.6,66.7,163,163.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,605,69.9,432,355.6,94,127,165,359.2,412.8,7,457,7.92,61,5,,14,527,20,1+3/8,,235,235,1+1/2,36,127,105,161,38.1,14,360.2,N/A,N/A,94,419.1,7.92,11.91,0.8,52.5,52.5,355.6,432,1.6,69.9,172,172.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,685,76.2,495,406.4,106,140,178,410.5,469.9,7,508,7.92,65,5,,16,603.2,20,1+1/2,,255,255,1+5/8,39,177,150,225,41.275,16,411.2,N/A,N/A,106,469.9,7.92,11.91,0.8,67.59,67.59,406.4,495,1.6,76.2,185,185.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,745,82.6,546,457,117,152,184,461.8,533.4,7,575,7.92,69,5,,18,654,20,1+5/8,,275,275,1+3/4,42,216,182,286,44.45,18,462.3,N/A,N/A,117,533.4,7.92,11.91,0.8,86.03,86.03,457.2,546,1.6,82.6,191,191.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,815,88.9,610,508,127,165,190,513.1,584.2,7,635,9.53,73,5,,20,723.9,24,1+5/8,,285,290,1+3/4,42,268,232,368,44.45,20,514.4,N/A,N/A,127,584.2,9.53,13.49,1.5,105.6,106.77,508,610,1.6,88.9,197,199.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,600,940,101.6,718,610,140,184,203,616,692.2,7,749,11.13,77,6,,24,838.2,24,1+7/8,,330,335,2,48,377,332,568,50.8,24,616,N/A,N/A,140,692.15,11.13,16.66,1.5,160.96,162.52,609.6,718,1.6,101.6,210,214.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
