4,100,3,80,4.5,3.5,9,0.236,0.338,0.531,0.673,0.216,0.299,0.437,0.598,11.22,13.76,18.03,21.47,0.5
4,100,3+1/2,90,4.5,4,9,0.236,0.338,0.531,0.673,0.224,0.318,N/A,N/A,9.72,12.53,,21.01,0.25
5,125,0+1/4,8,5.563,0.54,11,0.257,0.375,0.625,0.75,0.086,0.118,N/A,N/A,0,0,0,0,2.51
5,125,0+3/8,10,5.563,0.675,11,0.257,0.375,0.625,0.75,0.09,0.125,N/A,N/A,0,0,0,0,2.44
5,125,0+1/2,15,5.563,0.84,11,0.257,0.375,0.625,0.75,0.11,0.145,0.188,0.295,0,0,0,0,2.36
5,125,0+3/4,20,5.563,1.05,11,0.257,0.375,0.625,0.75,0.114,0.153,0.22,0.307,0,0,0,0,2.25
5,125,1,25,5.563,1.315,11,0.257,0.375,0.625,0.75,0.133,0.177,0.251,0.358,0,0,0,0,2.12
5,125,1+1/4,32,5.563,1.66,11,0.257,0.375,0.625,0.75,0.141,0.192,0.251,0.381,0,0,0,0,1.95
5,125,1+1/2,40,5.563,1.9,11,0.257,0.375,0.625,0.75,0.145,0.2,0.279,0.401,0,0,0,0,1.83
5,125,2,50,5.563,2.375,11,0.257,0.375,0.625,0.75,0.153,0.216,0.342,0.437,0,0,0,0,1.59
5,125,2+1/2,65,5.563,2.875,11,0.257,0.375,0.625,0.75,0.204,0.275,0.374,0.551,0,0,0,0,1.34
5,125,3,80,5.563,3.5,11,0.257,0.375,0.625,0.75,0.216,0.299,0.437,0.598,0,0,0,0,1.03
5,125,3+1/2,90,5.563,4,11,0.257,0.375,0.625,0.75,0.224,0.318,N/A,N/A,0,0,0,0,0.78
5,125,4,100,5.563,4.5,11,0.257,0.375,0.625,0.75,0.236,0.337,0.531,0.674,0,0,0,0,0.53
6,150,0+1/2,15,6.625,0.84,12,0.279,0.431,0.718,0.864,0.11,0.145,0.188,0.295,0,0,0,0,2.89
6,150,0+3/4,20,6.625,1.05,12,0.279,0.431,0.718,0.864,0.114,0.153,0.22,0.307,0,0,0,0,2.78
6,150,1,25,6.625,1.315,12,0.279,0.431,0.718,0.864,0.133,0.177,0.251,0.358,0,0,0,0,2.65
6,150,1+1/4,32,6.625,1.66,12,0.279,0.431,0.718,0.864,0.141,0.192,0.251,0.381,0,0,0,0,2.48
6,150,1+1/2,40,6.625,1.9,12,0.279,0.431,0.718,0.864,0.145,0.2,0.279,0.401,0,0,0,0,2.36
6,150,2,50,6.625,2.375,12,0.279,0.431,0.718,0.864,0.153,0.216,0.342,0.437,0,0,0,0,2.12
6,150,2+1/2,65,6.625,2.875,12,0.279,0.431,0.718,0.864,0.204,0.275,0.374,0.551,0,0,0,0,1.87
6,150,3,80,6.625,3.5,12,0.279,0.431,0.718,0.864,0.216,0.299,0.437,0.598,28,34.08,44.36,50.24,1.56
6,150,3+1/2,90,6.625,4,12,0.279,0.431,0.718,0.864,0.224,0.318,N/A,N/A,26.9,33.28,,50.32,1.31
6,150,4,100,6.625,4.5,12,0.279,0.431,0.718,0.864,0.236,0.337,0.531,0.674,25.68,32.4,44.21,50.57,1.06
6,200,5,125,6.625,5.563,12,0.279,0.431,0.718,0.864,0.257,0.375,0.625,0.75,22.55,30.21,44.35,50.89,0.53
8,200,1,25,8.625,1.315,13,0.322,0.5,0.905,0.875,0.133,0.177,0.251,0.358,0,0,0,0,3.65
8,200,1+1/4,32,8.625,1.66,13,0.322,0.5,0.905,0.875,0.141,0.192,0.251,0.381,0,0,0,0,3.48
8,200,1+1/2,40,8.625,1.9,13,0.322,0.5,0.905,0.875,0.145,0.2,0.279,0.401,0,0,0,0,3.36
8,200,2,50,8.625,2.375,13,0.322,0.5,0.905,0.875,0.153,0.216,0.342,0.437,0,0,0,0,3.12
8,200,2+1/2,65,8.625,2.875,13,0.322,0.5,0.905,0.875,0.204,0.275,0.374,0.551,0,0,0,0,2.87
8,200,3,80,8.625,3.5,13,0.322,0.5,0.905,0.875,0.216,0.299,0.437,0.598,0,0,0,0,2.56
8,200,3+1/2,90,8.625,4,13,0.322,0.5,0.905,0.875,0.224,0.318,N/A,N/A,0,0,0,0,2.31
8,200,4,100,8.625,4.5,13,0.322,0.5,0.905,0.875,0.236,0.337,0.531,0.674,0,0,0,0,2.06
8,200,5,125,8.625,5.563,13,0.322,0.5,0.905,0.875,0.257,0.375,0.625,0.75,0,0,0,0,1.53
8,200,6,150,8.625,6.626,13,0.322,0.5,0.905,0.875,0.279,0.431,0.718,0.864,0,0,0,0,0.99
10,250,2,50,10.75,2.375,15,0.364,0.625,1.125,1,0.153,0.216,0.342,0.437,0,0,0,0,4.18
10,250,2+1/2,65,10.75,2.875,15,0.364,0.625,1.125,1,0.204,0.275,0.374,0.551,0,0,0,0,3.93
10,250,3,80,10.75,3.5,15,0.364,0.625,1.125,1,0.216,0.299,0.437,0.598,0,0,0,0,3.62
10,250,3+1/2,90,10.75,4,15,0.364,0.625,1.125,1,0.224,0.318,N/A,N/A,0,0,0,0,3.37
10,250,4,100,10.75,4.5,15,0.364,0.625,1.125,1,0.236,0.337,0.531,0.674,0,0,0,0,3.12
10,250,5,125,10.75,5.563,15,0.364,0.625,1.125,1,0.257,0.375,0.625,0.75,0,0,0,0,2.59
10,250,6,150,10.75,6.626,15,0.364,0.625,1.125,1,0.279,0.431,0.718,0.864,0,0,0,0,2.06
10,250,8,200,10.75,8.625,15,0.364,0.625,1.125,1,0.322,0.5,0.905,0.875,0,0,0,0,1.06
12,300,2,50,12.75,2.375,16,0.405,0.688,1.311,1,0.153,0.216,0.342,0.437,0,0,0,0,5.18
12,300,2+1/2,65,12.75,2.875,16,0.405,0.688,1.311,1,0.204,0.275,0.374,0.551,0,0,0,0,4.93
12,300,3,80,12.75,3.5,16,0.405,0.688,1.311,1,0.216,0.299,0.437,0.598,0,0,0,0,4.62
12,300,3+1/2,90,12.75,4,16,0.405,0.688,1.311,1,0.224,0.318,N/A,N/A,0,0,0,0,4.37
12,300,4,100,12.75,4.5,16,0.405,0.688,1.311,1,0.236,0.337,0.531,0.674,0,0,0,0,4.12
12,300,5,125,12.75,5.563,16,0.405,0.688,1.311,1,0.257,0.375,0.625,0.75,0,0,0,0,3.59
12,300,6,150,12.75,6.626,16,0.405,0.688,1.311,1,0.279,0.431,0.718,0.864,0,0,0,0,3.06
12,300,8,200,12.75,8.625,16,0.405,0.688,1.311,1,0.322,0.5,0.905,0.875,0,0,0,0,2.06
12,300,10,250,12.75,10.75,16,0.405,0.688,1.311,1,0.364,0.594,1.125,1,0,0,0,0,1
