10,1,3,,5,6,7,8,9,10
NPS,DN(Ref),OD,Wall Thk,Mass,XS,Schedule,water,total ,unit
[Note (1)],Note 2,mm,mm,kg/m,or XXS,No,kg/m,kg/m,kg/m
10,250,273,3.4,22.61,,5,55.62,78.23,kg/m
10,250,273,3.96,26.27,,,55.15,81.42,kg/m
10,250,273,4.19,27.78,,10,54.96,82.74,kg/m
10,250,273,4.78,31.62,,,54.47,86.09,kg/m
10,250,273,5.16,34.08,,,54.16,88.24,kg/m
10,250,273,5.56,36.67,,,53.83,90.5,kg/m
10,250,273,6.35,41.76,,20,53.18,94.94,kg/m
10,250,273,7.09,46.49,,,52.58,99.07,kg/m
10,250,273,7.8,51.01,,30,52,103.01,kg/m
10,250,273,8.74,56.96,,,51.25,108.21,kg/m
10,250,273,9.27,60.29,STD,40,50.82,111.11,kg/m
10,250,273,11.13,71.88,,,49.35,121.23,kg/m
10,250,273,12.7,81.53,XS,60,48.12,129.65,kg/m
10,250,273,14.27,91.05,,,46.91,137.96,kg/m
10,250,273,15.09,95.98,,80,46.28,142.26,kg/m
10,250,273,15.88,100.69,,,45.68,146.37,kg/m
10,250,273,18.26,114.71,,100,43.89,158.6,kg/m
10,250,273,20.62,128.34,,,42.16,170.5,kg/m
10,250,273,21.44,133.01,,120,41.56,174.57,kg/m
10,250,273,22.23,137.48,,,41,178.48,kg/m
10,250,273,23.83,146.43,,,39.86,186.29,kg/m
10,250,273,25.4,155.1,XXS,140,38.75,193.85,kg/m
10,250,273,28.58,172.27,,160,36.57,208.84,kg/m
10,250,273,31.75,188.9,,,34.45,223.35,kg/m
12,300,323.8,3.96,31.24,,5,78.32,109.56,kg/m
12,300,323.8,4.37,34.43,,,77.92,112.35,kg/m
12,300,323.8,4.57,35.98,,10,77.72,113.7,kg/m
12,300,323.8,4.78,37.61,,,77.51,115.12,kg/m
12,300,323.8,5.16,40.55,,,77.14,117.69,kg/m
12,300,323.8,5.56,43.64,,,76.74,120.38,kg/m
12,300,323.8,6.35,49.71,,20,75.97,125.68,kg/m
12,300,323.8,7.14,55.76,,,75.2,130.96,kg/m
12,300,323.8,7.92,61.7,,,74.44,136.14,kg/m
12,300,323.8,8.38,65.19,,30,74,139.19,kg/m
12,300,323.8,8.74,67.91,,,73.65,141.56,kg/m
12,300,323.8,9.53,73.86,STD,,72.9,146.76,kg/m
12,300,323.8,10.31,79.71,,40,72.15,151.86,kg/m
12,300,323.8,11.13,85.82,,,71.37,157.19,kg/m
