10,2,3,,5,6,7,8,9,10
NPS,DN,Diameter,Thickness,Weight,XS,Schedule,water,total,units
[Note (1)],Note 2,in.,in.,lb/ft,or XXS,No,lb/ft,lb/ft,lb/ft
8,200,8.625,0.312,27.73,,,21.63,49.36,lb/ft
8,200,8.625,0.322,28.58,STD,40,21.52,50.1,lb/ft
8,200,8.625,0.344,30.45,,,21.29,51.74,lb/ft
8,200,8.625,0.375,33.07,,,20.96,54.03,lb/ft
8,200,8.625,0.406,35.67,,60,20.63,56.3,lb/ft
8,200,8.625,0.438,38.33,,,20.29,58.62,lb/ft
8,200,8.625,0.5,43.43,XS,80,19.65,63.08,lb/ft
8,200,8.625,0.562,48.44,,,19.01,67.45,lb/ft
8,200,8.625,0.594,51,,100,18.69,69.69,lb/ft
8,200,8.625,0.625,53.45,,,18.38,71.83,lb/ft
8,200,8.625,0.719,60.77,,120,17.45,78.22,lb/ft
8,200,8.625,0.75,63.14,,,17.15,80.29,lb/ft
8,200,8.625,0.812,67.82,,140,16.56,84.38,lb/ft
8,200,8.625,0.875,72.49,XXS,,15.97,88.46,lb/ft
8,200,8.625,0.906,74.76,,160,15.68,90.44,lb/ft
8,200,8.625,1,81.51,,,14.83,96.34,lb/ft
10,250,10.75,0.134,15.21,,5,37.13,52.34,lb/ft
10,250,10.75,0.156,17.67,,,36.82,54.49,lb/ft
10,250,10.75,0.165,18.67,,10,36.69,55.36,lb/ft
10,250,10.75,0.188,21.23,,,36.37,57.6,lb/ft
10,250,10.75,0.203,22.89,,,36.16,59.05,lb/ft
10,250,10.75,0.219,24.65,,,35.94,60.59,lb/ft
10,250,10.75,0.25,28.06,,20,35.5,63.56,lb/ft
10,250,10.75,0.279,31.23,,,35.1,66.33,lb/ft
10,250,10.75,0.307,34.27,,30,34.72,68.99,lb/ft
10,250,10.75,0.344,38.27,,,34.21,72.48,lb/ft
10,250,10.75,0.365,40.52,STD,40,33.93,74.45,lb/ft
10,250,10.75,0.438,48.28,,,32.95,81.23,lb/ft
10,250,10.75,0.5,54.79,XS,60,32.12,86.91,lb/ft
10,250,10.75,0.562,61.21,,,31.31,92.52,lb/ft
10,250,10.75,0.594,64.49,,80,30.9,95.39,lb/ft
10,250,10.75,0.625,67.65,,,30.5,98.15,lb/ft
10,250,10.75,0.719,77.1,,100,29.3,106.4,lb/ft
10,250,10.75,0.812,86.26,,,28.14,114.4,lb/ft
10,250,10.75,0.844,89.38,,120,27.75,117.13,lb/ft
10,250,10.75,0.875,92.37,,,27.37,119.74,lb/ft
10,250,10.75,0.938,98.39,,,26.61,125,lb/ft
10,250,10.75,1,104.23,XXS,140,25.87,130.1,lb/ft
10,250,10.75,1.125,115.75,,160,24.41,140.16,lb/ft
10,250,10.75,1.25,126.94,,,23,149.94,lb/ft
12,300,12.75,0.156,21,,5,52.28,73.28,lb/ft
12,300,12.75,0.172,23.13,,,52.01,75.14,lb/ft
12,300,12.75,0.18,24.19,,10,51.88,76.07,lb/ft
12,300,12.75,0.188,25.25,,,51.75,77,lb/ft
12,300,12.75,0.203,27.23,,,51.5,78.73,lb/ft
12,300,12.75,0.219,29.34,,,51.23,80.57,lb/ft
12,300,12.75,0.25,33.41,,20,50.71,84.12,lb/ft
12,300,12.75,0.281,37.46,,,50.2,87.66,lb/ft
12,300,12.75,0.312,41.48,,,49.69,91.17,lb/ft
12,300,12.75,0.33,43.81,,30,49.4,93.21,lb/ft
12,300,12.75,0.344,45.62,,,49.17,94.79,lb/ft
12,300,12.75,0.375,49.61,STD,,48.67,98.28,lb/ft
12,300,12.75,0.406,53.57,,40,48.16,101.73,lb/ft
12,300,12.75,0.438,57.65,,,47.65,105.3,lb/ft
12,300,12.75,0.5,65.48,XS,,46.66,112.14,lb/ft
12,300,12.75,0.562,73.22,,60,45.68,118.9,lb/ft
12,300,12.75,0.625,81.01,,,44.69,125.7,lb/ft
12,300,12.75,0.688,88.71,,80,43.72,132.43,lb/ft
12,300,12.75,0.75,96.21,,,42.77,138.98,lb/ft
12,300,12.75,0.812,103.63,,,41.83,145.46,lb/ft
12,300,12.75,0.844,107.42,,100,41.35,148.77,lb/ft
12,300,12.75,0.875,111.08,,,40.89,151.97,lb/ft
12,300,12.75,0.938,118.44,,,39.96,158.4,lb/ft
12,300,12.75,1,125.61,XXS,120,39.05,164.66,lb/ft
12,300,12.75,1.062,132.69,,,38.16,170.85,lb/ft
12,300,12.75,1.125,139.81,,140,37.26,177.07,lb/ft
12,300,12.75,1.25,153.67,,,35.5,189.17,lb/ft
12,300,12.75,1.312,160.42,,160,34.65,195.07,lb/ft
14,350,14,0.156,23.09,,5,63.32,86.41,lb/ft
14,350,14,0.188,27.76,,,62.73,90.49,lb/ft
14,350,14,0.203,29.94,,,62.45,92.39,lb/ft
14,350,14,0.21,30.96,,,62.33,93.29,lb/ft
14,350,14,0.219,32.26,,,62.16,94.42,lb/ft
14,350,14,0.25,36.75,,10,61.59,98.34,lb/ft
14,350,14,0.281,41.21,,,61.03,102.24,lb/ft
14,350,14,0.312,45.65,,20,60.47,106.12,lb/ft
14,350,14,0.344,50.22,,,59.89,110.11,lb/ft
14,350,14,0.375,54.62,STD,30,59.33,113.95,lb/ft
14,350,14,0.406,59,,,58.78,117.78,lb/ft
14,350,14,0.438,63.5,,40,58.21,121.71,lb/ft
14,350,14,0.469,67.84,,,57.66,125.5,lb/ft
14,350,14,0.5,72.16,XS,,57.11,129.27,lb/ft
14,350,14,0.562,80.73,,,56.03,136.76,lb/ft
14,350,14,0.594,85.13,,60,55.47,140.6,lb/ft
14,350,14,0.625,89.36,,,54.94,144.3,lb/ft
14,350,14,0.688,97.91,,,53.86,151.77,lb/ft
14,350,14,0.75,106.23,,80,52.81,159.04,lb/ft
14,350,14,0.812,114.48,,,51.76,166.24,lb/ft
14,350,14,0.875,122.77,,,50.71,173.48,lb/ft
14,350,14,0.938,130.98,,100,49.68,180.66,lb/ft
14,350,14,1,138.97,,,48.67,187.64,lb/ft
14,350,14,1.062,146.88,,,47.66,194.54,lb/ft
14,350,14,1.094,150.93,,120,47.15,198.08,lb/ft
14,350,14,1.125,154.84,,,46.66,201.5,lb/ft
14,350,14,1.25,170.37,,140,44.69,215.06,lb/ft
14,350,14,1.406,189.29,,160,42.3,231.59,lb/ft
14,350,14,2,256.56,,,33.79,290.35,lb/ft
14,350,14,2.125,269.76,,,32.12,301.88,lb/ft
14,350,14,2.2,277.51,,,31.14,308.65,lb/ft
14,350,14,2.5,307.34,,,27.37,334.71,lb/ft
16,400,16,0.165,27.93,,5,82.99,110.92,lb/ft
16,400,16,0.188,31.78,,,82.5,114.28,lb/ft
16,400,16,0.203,34.28,,,82.18,116.46,lb/ft
16,400,16,0.219,36.95,,,81.85,118.8,lb/ft
16,400,16,0.25,42.09,,10,81.2,123.29,lb/ft
16,400,16,0.281,47.22,,,80.55,127.77,lb/ft
16,400,16,0.312,52.32,,20,79.9,132.22,lb/ft
16,400,16,0.344,57.57,,,79.24,136.81,lb/ft
16,400,16,0.375,62.64,STD,30,78.6,141.24,lb/ft
16,400,16,0.406,67.68,,,77.96,145.64,lb/ft
16,400,16,0.438,72.86,,,77.3,150.16,lb/ft
16,400,16,0.469,77.87,,,76.67,154.54,lb/ft
16,400,16,0.5,82.85,XS,40,76.04,158.89,lb/ft
16,400,16,0.562,92.75,,,74.79,167.54,lb/ft
16,400,16,0.625,102.72,,,73.53,176.25,lb/ft
16,400,16,0.656,107.6,,60,72.91,180.51,lb/ft
16,400,16,0.688,112.62,,,72.28,184.9,lb/ft
16,400,16,0.75,122.27,,,71.06,193.33,lb/ft
16,400,16,0.812,131.84,,,69.85,201.69,lb/ft
16,400,16,0.844,136.74,,80,69.23,205.97,lb/ft
16,400,16,0.875,141.48,,,68.63,210.11,lb/ft
16,400,16,0.938,151.03,,,67.42,218.45,lb/ft
16,400,16,1,160.35,,,66.24,226.59,lb/ft
16,400,16,1.031,164.98,,100,65.65,230.63,lb/ft
16,400,16,1.062,169.59,,,65.07,234.66,lb/ft
16,400,16,1.125,178.89,,,63.9,242.79,lb/ft
16,400,16,1.188,188.11,,,62.73,250.84,lb/ft
16,400,16,1.219,192.61,,120,62.16,254.77,lb/ft
16,400,16,1.25,197.1,,,61.59,258.69,lb/ft
16,400,16,1.438,223.85,,140,58.21,282.06,lb/ft
16,400,16,1.594,245.48,,160,55.47,300.95,lb/ft
18,450,18,0.165,31.46,,5,105.52,136.98,lb/ft
18,450,18,0.188,35.8,,,104.98,140.78,lb/ft
18,450,18,0.219,41.63,,,104.24,145.87,lb/ft
18,450,18,0.25,47.44,,10,103.5,150.94,lb/ft
18,450,18,0.281,53.23,,,102.77,156,lb/ft
18,450,18,0.312,58.99,,20,102.04,161.03,lb/ft
18,450,18,0.344,64.93,,,101.29,166.22,lb/ft
18,450,18,0.375,70.65,STD,,100.57,171.22,lb/ft
18,450,18,0.406,76.36,,,99.85,176.21,lb/ft
18,450,18,0.438,82.23,,30,99.1,181.33,lb/ft
18,450,18,0.469,87.89,,,98.39,186.28,lb/ft
18,450,18,0.5,93.54,XS,,97.67,191.21,lb/ft
18,450,18,0.562,104.76,,40,96.25,201.01,lb/ft
18,450,18,0.625,116.09,,,94.82,210.91,lb/ft
18,450,18,0.688,127.32,,,93.4,220.72,lb/ft
18,450,18,0.75,138.3,,60,92.01,230.31,lb/ft
18,450,18,0.812,149.2,,,90.63,239.83,lb/ft
18,450,18,0.875,160.18,,,89.24,249.42,lb/ft
18,450,18,0.938,171.08,,80,87.87,258.95,lb/ft
18,450,18,1,181.73,,,86.52,268.25,lb/ft
18,450,18,1.062,192.29,,,85.18,277.47,lb/ft
18,450,18,1.125,202.94,,,83.84,286.78,lb/ft
18,450,18,1.156,208.15,,100,83.18,291.33,lb/ft
18,450,18,1.188,213.51,,,82.5,296.01,lb/ft
18,450,18,1.25,223.82,,,81.2,305.02,lb/ft
18,450,18,1.375,244.37,,120,78.6,322.97,lb/ft
18,450,18,1.562,274.48,,140,74.79,349.27,lb/ft
18,450,18,1.781,308.79,,160,70.45,379.24,lb/ft
20,500,20,0.188,39.82,,5,130.15,169.97,lb/ft
20,500,20,0.219,46.31,,,129.33,175.64,lb/ft
20,500,20,0.25,52.78,,10,128.51,181.29,lb/ft
20,500,20,0.281,59.23,,,127.7,186.93,lb/ft
